Category,Sub-Category,Product Name,similar_products,similar_products_vectors,top_similar_products,sku
Furniture,Tables,Chromcraft Rectangular Conference Tables,Furniture Tables Chromcraft Rectangular Conference Tables,"[-4.45501417e-01  7.07224011e-01  1.43150002e-01  2.53048003e-01
  2.23599980e-03  2.61151999e-01  1.16338000e-01  4.01256979e-01
 -1.75860003e-01 -1.14509985e-01  4.12712008e-01 -5.71947992e-01
  3.95674616e-01  2.54121989e-01 -1.29931197e-01  5.19598007e-01
 -3.17452908e-01  1.17104396e-01 -3.96531999e-01 -1.00239599e+00
 -3.24294984e-01  2.08736390e-01  2.55896002e-01 -2.91115999e-01
  2.91610032e-01 -6.81358039e-01 -1.10088006e-01 -1.98253989e-01
 -5.66334009e-01 -4.95610178e-01 -6.26301989e-02 -1.01719186e-01
  9.38339978e-02 -2.59693980e-01  3.15908015e-01  4.55207974e-01
 -1.98690996e-01  1.72297999e-01 -9.19997692e-04 -5.57886779e-01
  7.82016665e-02 -6.25241995e-01  2.03985006e-01 -4.65653986e-01
 -7.37023205e-02  1.43919978e-02 -4.59882200e-01  2.54031599e-01
 -7.98640102e-02 -3.50688040e-01  1.16952002e-01 -3.72819573e-01
  3.24699990e-02  6.15932226e-01 -1.89020395e-01 -1.90017200e+00
 -3.92886996e-01  1.32555202e-01  8.92537951e-01  4.26223099e-01
 -5.72612047e-01  3.13480586e-01 -2.07396001e-01  5.66599984e-03
  1.37529776e-01 -3.53854001e-01  2.40503997e-01  5.19854665e-01
 -1.46788001e-01 -5.15529990e-01 -8.18080604e-02  3.85715887e-02
  5.14244020e-01 -3.41472805e-01  3.46679874e-02  2.76657999e-01
 -1.69688001e-01  6.50055930e-02 -2.72082001e-01 -3.23080011e-02
  1.19483806e-01  6.52665719e-02 -2.39754006e-01 -1.22310385e-01
 -3.84925783e-01 -2.99064100e-01 -2.02731997e-01 -4.33796018e-01
  4.23384011e-01 -2.53005959e-02  2.11079791e-01 -1.07143998e-01
  1.38769209e-01  2.51205981e-01 -2.23062009e-01 -4.16281998e-01
 -2.07460403e-01 -6.75780177e-02  1.38997197e+00  1.86963990e-01]","['sku0217', 'sku1323', 'sku1243', 'sku0617', 'sku0190']",sku0011
Technology,Phones,Konftel 250 Conference phone - Charcoal black,Technology Phones Konftel 250 Conference phone - Charcoal black,"[-1.72259673e-01  1.92966655e-01  2.56186664e-01 -2.63801336e-01
  2.45864674e-01 -1.24524988e-01  1.84854075e-01  1.07521616e-01
  1.14213325e-01  1.60154998e-01 -3.85199971e-02 -3.91628981e-01
  8.45701694e-02  1.67625010e-01  4.76981699e-02 -1.95134997e-01
  2.14656666e-01 -1.14799701e-01  1.56445011e-01 -4.42881674e-01
 -3.21197599e-01 -2.46153057e-01  3.59376669e-01  3.72266769e-02
  4.12783355e-01 -1.94500089e-02  2.79583663e-01  2.44831681e-01
 -2.01354682e-01  2.77866572e-02 -3.69933248e-02  5.11341870e-01
  5.71683161e-02 -9.50664282e-04  2.15504333e-01  2.11990833e-01
 -4.78162616e-01 -1.09958328e-01  4.94150013e-01  1.15611494e-01
 -1.97273672e-01 -5.19787490e-01 -1.50750652e-01 -3.22101653e-01
 -6.79436684e-01 -3.00014019e-01 -1.67708322e-01  2.21766397e-01
  2.78477639e-01 -6.12881660e-01 -1.07883044e-01  1.88882336e-01
  7.96956569e-02  5.32056868e-01 -1.29793331e-01 -1.72102678e+00
 -4.27043825e-01  2.15200037e-02  1.59516156e+00  2.64225006e-01
 -1.73188850e-01  3.32010478e-01  1.42599950e-02 -2.40047023e-01
  2.78833836e-01 -5.40789999e-02  6.43745005e-01  2.56168842e-01
  4.24203306e-01  9.51575115e-02 -2.75810007e-02 -5.49987592e-02
  1.57776669e-01 -5.08580029e-01 -1.27038397e-02  3.39613318e-01
  3.15704972e-01 -1.58703670e-01 -5.86165965e-01 -8.95956680e-02
  9.10659790e-01 -4.27568048e-01 -2.39051685e-01 -1.71996832e-01
 -1.26728499e+00 -1.75775841e-01  2.36495018e-01 -1.35344997e-01
  1.72348499e-01 -8.93433318e-02  4.08100009e-01 -6.67987466e-02
  1.69626668e-01 -7.73034990e-02 -4.61996675e-01 -1.79016683e-02
 -2.50344664e-01 -3.67185026e-02  6.83648348e-01 -6.03490062e-02]","['sku0480', 'sku1699', 'sku1231', 'sku1313', 'sku0911']",sku0012
Office Supplies,Paper,Xerox 1967,Office Supplies Paper Xerox 1967,"[-2.4032301e-01 -1.5749998e-02  3.8382448e-03  7.1035251e-02
  2.6365525e-01 -4.6919000e-01  3.9322510e-02  3.2689050e-01
  1.6218650e-01  1.8251576e-01  8.5578002e-02 -2.5753164e-01
  1.5037404e-01  3.6818752e-01 -2.4232826e-01 -2.5726375e-01
  5.3191000e-01  7.0882753e-02  3.6146000e-01 -5.8367002e-01
 -4.1832257e-02  1.1245750e-01  1.6279506e-02  2.5738752e-01
 -2.1933001e-01 -4.5168701e-01  1.5933500e-01 -2.7030075e-01
 -4.6366751e-01 -1.5116750e-01  4.3068075e-01  3.9206249e-01
 -2.7006751e-01 -1.2753750e-01 -4.7155249e-01  3.3237749e-01
  7.6539993e-02 -7.3067248e-02  2.6609749e-01 -4.3206251e-01
 -8.7329999e-02 -4.4424748e-01 -3.5692251e-01 -3.4254000e-01
 -1.5167999e-01  3.9675489e-02 -1.6122748e-01 -3.0448997e-01
 -2.4209702e-01 -4.5844001e-01  2.9263049e-01 -1.7106251e-01
  5.2227750e-02  7.5650227e-01 -6.5029994e-02 -1.5150200e+00
 -3.8243026e-01 -4.7055002e-02  1.4239700e+00  1.1609003e-02
 -8.7408304e-02 -2.1245250e-01 -4.4393975e-01  3.6853150e-01
  1.8426001e-01 -2.7576250e-01  4.9641499e-01  2.9115748e-01
  5.0292748e-01  2.2194077e-01  3.8728803e-02  2.1218273e-01
  3.0972006e-02 -2.9950252e-01  2.2171150e-01  1.0124998e-01
  2.3267749e-01  3.2435751e-01 -1.0018024e+00  3.0188078e-01
  6.1925751e-01  1.0820501e-01 -4.6360075e-01  4.0998924e-01
 -1.0180351e+00 -4.4175327e-01  4.0242749e-01 -1.9083151e-01
  1.0234974e-03 -9.3357757e-02  4.1245997e-01 -4.1873757e-02
  2.8908527e-01  2.8423579e-02 -3.6909500e-01  9.9650174e-03
  3.1374598e-01 -6.7124993e-02  3.5218501e-01  2.9398325e-01]","['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0013
Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies Binders Fellowes PB200 Plastic Comb Binding Machine,"[-0.3671915   0.0358685  -0.11780037 -0.3140749   0.14883499 -0.13298762
 -0.18421875  0.44833213  0.19065139  0.3324765   0.03257512 -0.38744235
  0.0973601   0.34013876  0.14521387  0.13755612  0.4215121   0.11833513
  0.26586747 -0.37606138  0.04945263 -0.09843173  0.011642   -0.05358699
  0.16990675  0.0934965  -0.05218163 -0.31169382 -0.23024599 -0.09048425
  0.41335103 -0.04865287  0.02601375 -0.08861188  0.02400311  0.10113448
 -0.00155201 -0.07521261  0.35475874 -0.20773438  0.05416501 -0.27655086
 -0.1437175  -0.24873999 -0.10752812 -0.11953849 -0.40603125 -0.06390874
 -0.18085    -0.21041924  0.05040587 -0.06383413  0.13928151  0.7295662
 -0.03284625 -0.8857714  -0.2881265  -0.031399    0.8244365   0.1268674
  0.19362414  0.20496    -0.01687366  0.60165876  0.22577076 -0.05172075
  0.32218128  0.11691099  0.13808088 -0.23253714  0.03761246  0.06127138
  0.30392337 -0.15998662  0.10239713  0.07120501  0.06571162 -0.123983
 -0.55288875  0.20098414  0.472445   -0.11478885 -0.4778861   0.09529712
 -0.60555327  0.06638338  0.5671175  -0.185525   -0.21628283 -0.04720438
  0.07610375 -0.05931836  0.27595562 -0.008495    0.10025076 -0.22968626
 -0.02526526 -0.21592417  0.35941374  0.1630584 ]","['sku0059', 'sku0452', 'sku0700', 'sku0933', 'sku0777']",sku0014
Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Office Supplies Appliances Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","[-0.44429773  0.06378797  0.02255954 -0.3477206   0.01383592 -0.10215564
 -0.12625977  0.2388693   0.1451799   0.18965301  0.07106584 -0.54111344
 -0.26799107  0.12632148  0.07646746 -0.27448294  0.21246624 -0.00359484
  0.2829239  -0.32411253 -0.24504015 -0.2226705   0.14141577 -0.2435166
  0.18998076 -0.06676309  0.02698654 -0.01599691 -0.26518446 -0.10500845
  0.2501206   0.23719805  0.00146623 -0.03448284  0.13578945  0.5129354
 -0.11216923  0.00921269  0.2765531  -0.11618683  0.00136101 -0.3074817
 -0.42669904 -0.29883307  0.34402323  0.18661276 -0.33353537  0.07228078
  0.148028   -0.39908725  0.11362799 -0.03603254 -0.13340655  0.7371174
 -0.05888263 -1.1729409   0.15243676  0.00654385  1.1112347  -0.0562567
  0.12269732 -0.03744449  0.05730454  0.6036077   0.4472661   0.11234978
  0.29344752 -0.3998881  -0.07428077 -0.09841876  0.04551939 -0.31774
  0.42575    -0.11404944  0.2622173   0.02936162  0.282269   -0.03230114
 -0.24096285  0.14203216  0.4217958  -0.3225095  -0.3242569   0.16786061
 -0.65894693  0.14178523  0.64753157 -0.23373239 -0.2103963  -0.25550416
  0.16263333 -0.02695208  0.0546247  -0.07621725 -0.22704847 -0.01323926
  0.2389366  -0.18189992  0.25991315  0.04960669]","['sku0668', 'sku1283', 'sku0977', 'sku0533', 'sku0229']",sku0015
Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies Binders Storex DuraTech Recycled Plastic Frosted Binders,"[-0.4174888   0.27407387 -0.17427842 -0.54038846  0.3625557  -0.12419887
 -0.02425571  0.37837282  0.23726545  0.25332615  0.05274228 -0.2841353
  0.09062999  0.6332442   0.3386927   0.01954614  0.42738718  0.11776398
  0.43070713 -0.65792    -0.131147    0.1119303  -0.10170257  0.07075857
  0.10474571  0.03486886  0.05193228 -0.3224699  -0.35082144  0.03284429
  0.31510684  0.03031814 -0.14990427 -0.01461458 -0.163615    0.45069912
  0.23947799  0.19433157  0.13190857 -0.10687542  0.11495186 -0.34765202
 -0.04559428 -0.24566826 -0.13319857  0.005916   -0.42576146 -0.04266284
 -0.18702686 -0.17859714  0.09249028 -0.27586612  0.04257014  0.44613457
 -0.07764285 -0.8117195  -0.39499757  0.28732428  0.9213415  -0.08292343
  0.17965244  0.24915573 -0.12908922  0.5343386   0.23571943 -0.35203716
  0.75326574  0.0302583   0.12297342 -0.543921    0.03315439  0.25559312
  0.19205056  0.15873429  0.01123672  0.35184285  0.22930656  0.15411642
 -0.2996357   0.44048187  0.27719614  0.01077143 -0.6224081   0.32304427
 -0.40979657 -0.09174614  0.41178426 -0.00372514 -0.30824164  0.05118999
  0.3363847  -0.07669611  0.14797299 -0.27596998  0.1436456  -0.33929285
 -0.01919571 -0.07021534  0.26366857  0.20813468]","['sku0529', 'sku0110', 'sku0304', 'sku0059', 'sku0656']",sku0016
Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","Office Supplies Storage Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","[-0.3955317   0.5352537   0.01839572  0.21936442  0.13471973 -0.30980715
 -0.08752656  0.20491315  0.07214087  0.253239    0.5204674  -0.40891987
  0.24910143 -0.07628857  0.2951453  -0.07085858 -0.05804827  0.523536
 -0.03373143 -0.31299856 -0.09656557  0.08033115  0.01141786  0.19739686
  0.23606715  0.143876    0.25575587 -0.13598685 -0.07924     0.05862543
  0.36228758 -0.12602888 -0.28843856  0.33269557  0.20881143  0.33835497
  0.22441427 -0.01497101  0.4673116  -0.03822715  0.27024284 -0.7408786
  0.06403428 -0.36989573  0.09447575  0.16408026 -0.2853157  -0.14230572
 -0.02483716  0.08166228  0.21694943  0.12774856  0.14042313  0.9302543
  0.09909415 -1.5745184   0.19643728 -0.06637856  1.2987942   0.26973516
 -0.08014915 -0.05644045 -0.01352842  0.4396431   0.5453128   0.24934885
  0.30590138  0.06671714  0.41487828  0.0268533  -0.16046156  0.09865642
  0.10244979  0.06573115  0.38543257 -0.22380543  0.21844141  0.22034344
 -0.5439455   0.13483617  0.15151541 -0.12425955 -0.31308016  0.308244
 -0.64740884  0.32282957  0.67483425 -0.409808    0.15779342  0.15762284
 -0.07332715  0.5646207   0.1322473   0.126191   -0.07067998 -0.15928057
  0.06517998 -0.29983255  0.5927814  -0.13588671]","['sku1184', 'sku0076', 'sku0198', 'sku0968', 'sku0187']",sku0017
Office Supplies,Storage,Fellowes Super Stor/Drawer,Office Supplies Storage Fellowes Super Stor/Drawer,"[-0.20985639 -0.03976399  0.4282454  -0.3454678   0.21287999 -0.597516
 -0.21489918  0.3587534  -0.0983118   0.1715444   0.31030458 -0.25505581
 -0.15212001  0.04718601  0.0189602  -0.065244    0.28395382  0.2411482
 -0.11954    -0.13356999  0.05577819 -0.18530001  0.14537902 -0.1313194
 -0.13331799 -0.10038362 -0.17827    -0.1033636  -0.2812878   0.36694402
  0.2344186  -0.1248     -0.116202   -0.18295021  0.27172798  0.45033216
 -0.26139203  0.2867934   0.13934001 -0.222195    0.388026   -0.52867603
 -0.034136   -0.33958     0.532917    0.1841584  -0.13249399 -0.31293
  0.23463038 -0.2675982   0.04771199 -0.03055401  0.26829082  0.603912
  0.20032799 -1.3337761  -0.16019979 -0.02816119  1.084434   -0.0085174
 -0.0917026  -0.1283106   0.1441422   0.32908002  0.43775195  0.082458
  0.291678   -0.173824    0.30536002  0.19572061  0.21288581 -0.0604578
  0.11364641 -0.06085842  0.0775696   0.0844626   0.12471     0.12245381
 -0.77615404  0.25645822  0.564964   -0.048516   -0.4182158   0.3398492
 -0.7989718   0.0356214   0.445038   -0.22882321 -0.06157301 -0.02316001
  0.19779798  0.12010501  0.40069002  0.14464402 -0.25455    -0.206986
  0.15917757 -0.02845081  0.442434    0.08729341]","['sku0765', 'sku0378', 'sku1278', 'sku0357', 'sku0460']",sku0018
Office Supplies,Art,Newell 341,Office Supplies Art Newell 341,"[ 0.066637    0.296704    0.00479749 -0.14105341  0.3857     -0.26712522
 -0.09071501  0.320835    0.0573525   0.17051825  0.14193317 -0.39685282
 -0.01634251  0.2683705  -0.08771575  0.058095    0.3861025   0.16160525
 -0.15355751  0.09095752  0.06048775 -0.0464475   0.17742376 -0.14380752
 -0.09274501 -0.233127   -0.064135   -0.57916    -0.19512574  0.04836249
 -0.18519676  0.153115   -0.1877975   0.20165    -0.3243125   0.3170825
 -0.08231501  0.10619525  0.0493875  -0.4264425   0.27254426 -0.5458725
 -0.214645   -0.28870624  0.342656    0.11263551 -0.17495748 -0.465275
  0.337353   -0.18821487  0.24086499 -0.27320752 -0.034137    0.42757624
 -0.08998025 -1.5966225  -0.07962025 -0.33284     1.099155    0.166584
  0.10308     0.18829998 -0.10382725  0.26986575  0.31536752 -0.12942
  0.348035    0.2868775   0.27074248  0.30510825  0.040041    0.29461774
 -0.10143001 -0.348185    0.1986725  -0.2457775   0.28961247  0.413475
 -0.9236575   0.07025325  0.3081715   0.2568225  -0.38562924  0.19466749
 -0.72170275  0.0623705  -0.20248249 -0.039799   -0.085419   -0.5325575
  0.1990575  -0.29435062  0.21898276  0.11239251 -0.32890502  0.00806801
  0.01465748 -0.2487      0.3991225   0.27387327]","['sku0564', 'sku1245', 'sku1621', 'sku0687', 'sku0672']",sku0019
Technology,Phones,Cisco SPA 501G IP Phone,Technology Phones Cisco SPA 501G IP Phone,"[ 3.14729959e-02 -1.27613336e-01  2.98631161e-01  1.45252660e-01
  2.90524989e-01 -2.76997209e-01 -8.23076144e-02 -1.35515884e-01
  1.41244829e-01 -8.31041709e-02  5.54616690e-01 -3.75295669e-01
 -1.85143158e-01  3.27099971e-02  8.57933387e-02 -2.33353332e-01
  8.18561688e-02  8.41652825e-02  5.30566685e-02  1.26433328e-01
 -4.86634970e-01 -1.56066716e-01  2.57448524e-01  7.62551606e-01
  4.15499955e-02 -1.45985037e-02  5.89221656e-01  4.57511663e-01
 -3.82674962e-01  6.77800030e-02  1.00076675e-01  8.99959505e-01
  7.86662102e-04  8.64438340e-02  5.11971653e-01  2.51090020e-01
 -5.22505045e-01 -8.16700086e-02  5.73093355e-01 -1.49651840e-01
  2.88061678e-01 -4.90076691e-01  2.41176765e-02 -3.72113347e-01
 -5.91544867e-01  3.42693329e-02 -1.59860000e-01  1.80268332e-01
  7.16558278e-01 -2.91350007e-01 -8.82355496e-02  3.05610299e-01
  3.12809020e-01  2.47866675e-01 -2.36834094e-04 -1.23339570e+00
 -3.12316656e-01  3.05473328e-01  1.42918670e+00  3.17421675e-01
 -1.13646664e-01 -2.99853325e-01 -1.35031670e-01 -6.47599995e-02
 -3.09956670e-01  9.56126675e-02  5.13904035e-01 -3.75933456e-03
  7.03608334e-01  1.78623334e-01 -2.39368007e-01  2.27941334e-01
  8.15006644e-02 -8.08703363e-01  1.79608509e-01 -2.36666203e-03
  3.01933318e-01 -1.77553341e-01 -5.47246277e-01 -1.87573265e-02
  9.89266574e-01 -8.38557959e-01 -1.79160342e-01  7.87308440e-02
 -1.34588492e+00  1.99055001e-01  4.49780017e-01 -1.18848346e-01
  8.85276571e-02 -7.36483261e-02  5.02381623e-01  2.51262933e-01
  3.53463322e-01 -1.60556659e-01 -6.55873343e-02  2.07708314e-01
  1.14078827e-01 -2.22542033e-01  6.83609962e-01  1.75551340e-01]","['sku1177', 'sku0425', 'sku0241', 'sku0896', 'sku0525']",sku0020
Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""","Office Supplies Binders Wilson Jones Hanging View Binder, White, 1""","[ 0.01781327  0.07994866 -0.07512356 -0.52247655  0.25114    -0.11219135
 -0.18000849  0.13809    -0.12255064 -0.12788412  0.10235111 -0.09800357
  0.07169644  0.34473222  0.24822076 -0.03034045  0.25763443  0.03065789
  0.0659     -0.34216893 -0.01656322 -0.09835977  0.06946611 -0.18095
  0.13351077  0.03903995 -0.16452579 -0.41457224 -0.16692856  0.08560954
  0.29233202  0.03281845  0.11019856  0.00681444 -0.1350359   0.38078058
  0.10794543  0.2920679   0.29456332  0.09865578 -0.31475    -0.42031708
  0.02924612  0.00415223 -0.09562889 -0.12213933 -0.15459666 -0.19761798
  0.00708244 -0.45346224  0.23908311 -0.34992746  0.08925     0.69912314
 -0.05324044 -1.6928978  -0.17090267  0.03747112  0.97785676  0.26990843
  0.05382644  0.28470442 -0.04793184  0.1385541   0.46714443 -0.23435667
  0.75996     0.34500253 -0.01616411  0.06655243 -0.0300032   0.28289512
 -0.22972843 -0.2882493   0.16696379  0.14133924  0.16269511  0.10028667
 -0.40223667  0.17548199  0.18810156  0.09271356 -0.36401275 -0.22094044
 -0.46481222 -0.24865365  0.16103336 -0.11640055  0.16552429 -0.19134554
  0.025457   -0.33125144  0.16032623 -0.00517167 -0.08096354  0.03985789
 -0.22968112 -0.16309667  0.158579    0.15406147]","['sku0799', 'sku1076', 'sku1488', 'sku0715', 'sku0045']",sku0021
Office Supplies,Art,Newell 318,Office Supplies Art Newell 318,"[ 0.066637    0.296704    0.00479749 -0.14105341  0.3857     -0.26712522
 -0.09071501  0.320835    0.0573525   0.17051825  0.14193317 -0.39685282
 -0.01634251  0.2683705  -0.08771575  0.058095    0.3861025   0.16160525
 -0.15355751  0.09095752  0.06048775 -0.0464475   0.17742376 -0.14380752
 -0.09274501 -0.233127   -0.064135   -0.57916    -0.19512574  0.04836249
 -0.18519676  0.153115   -0.1877975   0.20165    -0.3243125   0.3170825
 -0.08231501  0.10619525  0.0493875  -0.4264425   0.27254426 -0.5458725
 -0.214645   -0.28870624  0.342656    0.11263551 -0.17495748 -0.465275
  0.337353   -0.18821487  0.24086499 -0.27320752 -0.034137    0.42757624
 -0.08998025 -1.5966225  -0.07962025 -0.33284     1.099155    0.166584
  0.10308     0.18829998 -0.10382725  0.26986575  0.31536752 -0.12942
  0.348035    0.2868775   0.27074248  0.30510825  0.040041    0.29461774
 -0.10143001 -0.348185    0.1986725  -0.2457775   0.28961247  0.413475
 -0.9236575   0.07025325  0.3081715   0.2568225  -0.38562924  0.19466749
 -0.72170275  0.0623705  -0.20248249 -0.039799   -0.085419   -0.5325575
  0.1990575  -0.29435062  0.21898276  0.11239251 -0.32890502  0.00806801
  0.01465748 -0.2487      0.3991225   0.27387327]","['sku0564', 'sku1245', 'sku1621', 'sku0687', 'sku0672']",sku0022
Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length","Office Supplies Appliances Acco Six-Outlet Power Strip, 4' Cord Length","[-0.17827827 -0.11501401  0.15540749 -0.012313    0.2628265  -0.3347535
 -0.08812112  0.38814324  0.13967325  0.26149788  0.04201829 -0.02011073
  0.09318025  0.06321325  0.16192088 -0.01306375  0.0447645   0.00627485
  0.11939999 -0.34936342  0.24141014 -0.15582068  0.08841563 -0.17542438
  0.26183248  0.06967225 -0.05816475 -0.23243375  0.0074475  -0.06685625
  0.3529034   0.0174675   0.04634171 -0.01996288 -0.14357999  0.24297424
  0.0393535   0.069157   -0.003115   -0.05534124  0.43646228 -0.29759747
 -0.11082038 -0.15065864  0.02791437  0.08215763  0.04897001 -0.04105749
  0.11045837 -0.02922099 -0.0765625   0.09131674  0.2683615   0.7092639
  0.18989874 -1.2747476  -0.19059011 -0.1640885   1.1836876   0.46678454
  0.29846126 -0.12057626  0.02563064  0.433365    0.6266627   0.27525163
  0.24656999 -0.19498175  0.19796512 -0.05963224  0.01881013 -0.00776137
  0.14924988 -0.0905425   0.24436074  0.120856    0.12436     0.11546624
 -0.41490123  0.159116    0.31403375 -0.03198749 -0.33259425  0.38831246
 -0.7925763   0.21331114  0.28946126  0.01882974  0.06297475 -0.1490175
  0.13188502  0.1000331   0.03105112 -0.13652813 -0.3171261   0.11881137
  0.36262655 -0.18691501  0.77283496  0.04216701]","['sku0723', 'sku0168', 'sku0166', 'sku1270', 'sku1026']",sku0023
Furniture,Chairs,"Global Deluxe Stacking Chair, Gray","Furniture Chairs Global Deluxe Stacking Chair, Gray","[-0.15538213  0.4120114   0.15487574 -0.07615501  0.4043057  -0.08958001
 -0.07000257  0.20238928 -0.34257814 -0.13643828  0.06803286 -0.46397856
  0.23276003  0.42416272  0.13776943  0.0779677   0.13393278  0.21996403
  0.06673714 -0.7003293  -0.12310728  0.02819186  0.3792457  -0.325825
  0.6081457  -0.02047714 -0.27786002 -0.40481886 -0.32805428 -0.01272614
  0.22455986  0.14203428 -0.36572358  0.03499428 -0.2851323   0.46264085
 -0.12521885  0.09703586  0.38713816 -0.27555573  0.01458001 -0.34538442
  0.21762358 -0.18244855 -0.23102143  0.44062    -0.34498143  0.24745145
 -0.14831431 -0.31988284 -0.21520999 -0.324244   -0.21886088  0.35186
 -0.12932743 -1.5468814   0.16463998  0.29348388  0.91485995  0.181808
 -0.03352729  0.14682116 -0.2565269   0.19084956  0.20998715 -0.20477116
  0.33902     0.2625727   0.27245715 -0.21030357  0.3277581   0.20973401
  0.32876572 -0.16935286 -0.22121143  0.09305087 -0.12930286  0.14631644
 -0.00868142 -0.09547813  0.17970406 -0.08267729 -0.06653315  0.09838356
 -0.1538     -0.30078718  0.01895343 -0.5031887  -0.03216757 -0.36584997
  0.43554688 -0.3058143   0.5317971  -0.01801401  0.31079707 -0.12615
 -0.12135942 -0.10243271  0.87609285 -0.07820714]","['sku0269', 'sku0872', 'sku0655', 'sku0165', 'sku1336']",sku0024
Office Supplies,Binders,Wilson Jones Active Use Binders,Office Supplies Binders Wilson Jones Active Use Binders,"[-5.72263747e-02  2.17697509e-02 -3.29796493e-01 -4.33237553e-01
  2.09828749e-01 -2.39207745e-01 -8.46820623e-02  8.80725011e-02
 -6.19261153e-02 -9.35962424e-03  1.71123505e-01 -3.60162765e-01
 -1.04042497e-02  3.22281241e-01  1.87333360e-01 -1.89385012e-01
  4.01504993e-01  3.96326259e-02  5.96487410e-02 -2.10230500e-01
  7.82850087e-02 -7.17193708e-02  5.66091239e-02  1.75637510e-02
 -4.74171340e-02 -6.48514256e-02 -1.02033995e-01 -4.50735003e-01
  2.12885067e-02  3.49327505e-01  5.99988773e-02  2.28998244e-01
 -8.60148966e-02  3.43524665e-03 -5.02882600e-02  2.86718756e-01
  6.29454926e-02  2.66915888e-01  1.86327487e-01  1.13618001e-01
 -1.44082502e-01 -2.34866738e-01  3.46731357e-02 -1.29838735e-01
  2.54312456e-02 -3.83503735e-02 -1.79362983e-01 -4.75078762e-01
  1.32964000e-01 -4.51803744e-01  1.51135623e-01 -1.44176245e-01
  3.08962446e-02  5.62194765e-01  1.97973028e-02 -1.52862251e+00
 -2.11538881e-01 -2.52376258e-01  1.11653876e+00  3.11062008e-01
  1.71325505e-01  1.96781248e-01  3.21975574e-02  2.92640090e-01
  5.97573757e-01 -2.56782502e-01  7.07427561e-01  2.31735229e-01
  2.69797862e-01  6.46016225e-02 -1.85068492e-02  1.12311363e-01
 -2.14983627e-01 -1.75615996e-01  1.59301013e-01 -1.68883726e-02
  8.44189972e-02 -2.43249908e-03 -5.98978758e-01  8.10619891e-02
  3.21662486e-01 -1.20124035e-03 -5.03263116e-01 -1.31657496e-01
 -6.18791223e-01  1.88033842e-02  2.67020017e-01 -5.19193746e-02
  3.11376955e-02 -2.29824618e-01 -3.90183777e-02 -1.24894232e-01
  1.75050125e-01 -3.96462493e-02 -3.22999060e-03  8.60350132e-02
 -1.53142512e-01 -2.37470001e-01  1.98290005e-01  1.71098381e-01]","['sku0875', 'sku0715', 'sku0155', 'sku0799', 'sku0545']",sku0026
Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology Accessories Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,"[-0.3440043   0.07904013  0.16773428 -0.414255    0.45729357 -0.25892898
  0.06921513  0.11958142  0.47990614  0.08972014  0.02201972 -0.14174284
 -0.1128866  -0.0826957   0.26924628  0.33512858  0.01692944  0.24525316
  0.14859287  0.11147143  0.01530073 -0.49958143  0.17262714  0.21400228
  0.5829044   0.18668857 -0.05684428 -0.06641714 -0.21521243  0.02347201
 -0.04856714  0.52853    -0.5412814   0.11304671  0.37702575  0.10112714
  0.25173914 -0.06745914  0.49311998 -0.12257115  0.2375073  -0.22420742
  0.06387523 -0.43407568 -0.414665    0.16660714  0.600811   -0.042821
  0.2030493  -0.010579   -0.39547905  0.20355143 -0.23666628  0.19226559
  0.3425243  -0.90709573 -0.19791257  0.28650877  1.2478771  -0.15329286
  0.00161143  0.29261595 -0.06809714  0.1984377   0.05430429 -0.08214443
  0.20827714 -0.16629872  0.14060758  0.08299571  0.00166277  0.04861828
  0.2645747  -0.15710285 -0.34725717  0.26088998  0.52450144  0.28072143
 -0.13623857 -0.01017286  0.49669972  0.0651003  -0.29061255  0.21461903
 -0.781477    0.43403915  0.22971973 -0.04799286  0.13781296 -0.08640615
  0.08168427  0.7394524  -0.016232   -0.26386714  0.01683143 -0.37492713
  0.28823087 -0.20041071  0.8670972  -0.13129699]","['sku0026', 'sku0047', 'sku1087', 'sku0104', 'sku0428']",sku0027
